id;quantite;user_modif;date_modif
1;XML;facilitate Somoni;2020-05-11
2;withdrawal Minnesota Wooden;quantifying Soft;2020-05-11
3;New Hampshire;De-engineered cross-media Money Market Account;2020-05-11
4;Points;Health;2020-05-11
5;Valleys Home Loan Account;parsing;2020-05-11
6;Practical back-end Louisiana;teal;2020-05-11
7;violet;Assurance Brand Steel;2020-05-11
8;Beauty;Cross-platform parse Computers;2020-05-11
9;Rufiyaa virtual Data;sensor Implemented Awesome Metal Cheese;2020-05-11
10;Pula;Unbranded Frozen Pizza;2020-05-11
